,Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,Telephone
229,1,2,2,1,3,6,2,3,4,2,3,2,2,2,1,2,1
230,1,3,6,2,3,8,1,4,4,2,1,2,2,2,1,3,2
231,1,3,9,1,3,10,1,4,4,3,3,2,2,2,1,1,1
232,1,3,4,2,1,4,2,4,4,2,3,3,2,2,1,3,2
233,1,1,5,2,1,6,1,2,4,1,2,3,2,2,1,3,2
234,0,2,8,2,0,9,1,3,2,3,3,1,1,2,1,1,1
235,1,1,6,2,3,7,1,4,4,1,3,3,2,2,1,2,1
236,1,3,7,2,2,7,1,4,4,2,1,3,2,2,1,2,1
237,1,1,6,2,3,7,1,4,4,2,1,4,1,1,1,1,1
238,1,3,10,2,2,9,1,1,1,1,1,1,2,1,1,1,1
239,1,3,4,2,1,6,3,2,4,2,3,1,2,2,1,2,1
240,1,3,8,3,3,8,3,2,2,3,2,3,2,2,1,1,1
241,1,3,1,2,0,3,1,4,2,2,2,3,2,2,1,3,2
242,1,3,7,2,3,7,2,2,3,1,2,1,2,1,1,1,1
243,1,3,7,3,3,9,3,4,4,2,2,2,1,2,1,3,2
244,1,3,9,1,3,7,3,4,2,2,2,3,1,2,1,1,1
245,1,3,6,2,1,6,2,3,3,1,3,1,2,2,1,2,1
246,1,3,7,3,3,7,1,2,4,2,3,1,2,2,1,2,1
247,1,3,6,3,2,6,2,2,2,2,2,2,2,2,1,2,1
248,1,2,8,2,3,6,2,2,3,1,1,1,2,2,1,1,1
249,1,3,7,2,1,5,4,2,1,2,3,2,2,2,1,2,1
250,1,2,7,3,0,6,4,4,4,2,3,3,2,2,1,2,1
251,1,2,7,3,3,5,1,2,2,2,1,3,2,2,1,1,2
252,1,3,8,2,3,9,1,4,4,2,3,2,2,2,1,2,1
253,1,3,4,2,3,6,1,4,4,2,3,2,2,2,1,2,1
254,1,3,4,3,1,5,3,4,4,2,3,2,2,2,1,3,2
255,1,3,8,2,3,6,1,3,2,2,2,2,2,1,1,2,2
256,1,1,8,3,2,6,1,4,1,1,2,2,2,2,1,1,1
257,1,3,9,3,2,7,1,1,1,1,1,1,2,1,1,2,1
258,1,1,9,2,3,7,1,4,3,2,1,3,2,2,1,1,1
259,1,3,10,2,3,6,1,3,1,2,1,5,2,2,1,1,1
260,1,3,8,2,2,6,1,1,2,2,2,2,1,2,1,1,1
261,1,3,9,3,0,8,1,1,4,1,3,2,2,2,1,3,1
262,1,3,9,2,2,8,1,1,4,1,2,1,2,2,1,2,1
263,1,3,9,2,2,8,1,4,1,2,3,1,2,2,1,2,1
264,1,3,8,2,3,8,1,1,4,1,3,2,2,2,1,2,1
265,1,3,7,2,3,6,3,4,3,2,3,3,2,2,1,2,1
266,1,2,9,2,3,7,1,2,2,2,1,2,2,2,1,1,1
267,1,3,4,2,0,9,3,4,4,2,2,2,2,2,1,2,1
268,1,3,8,3,2,8,1,1,2,1,2,1,2,1,1,1,1
269,1,3,8,1,3,7,2,4,4,2,3,2,1,2,1,1,1
270,1,3,9,2,1,8,3,2,2,2,2,3,2,1,1,2,1
271,1,3,4,3,2,4,3,3,2,1,3,3,2,2,1,2,2
272,1,3,9,2,3,9,3,3,2,3,1,1,2,1,1,1,1
273,1,3,6,2,2,6,3,4,3,2,2,3,2,2,1,2,1
274,1,3,6,2,1,6,1,4,4,2,3,2,2,2,1,3,2
275,1,3,8,1,3,6,3,2,4,1,1,2,2,2,1,1,1
276,1,3,8,2,3,6,1,4,4,1,3,3,1,1,1,3,2
277,1,2,7,3,3,6,1,3,2,2,2,2,2,2,1,2,1
278,1,1,6,2,3,6,1,2,2,1,3,2,2,2,1,2,1
279,1,3,9,2,3,8,2,4,2,1,1,3,2,2,1,2,1
280,1,3,9,3,3,9,1,1,2,1,2,2,1,2,1,2,1
281,1,3,8,2,2,7,1,2,1,1,3,3,2,2,1,1,1
282,1,3,8,2,1,6,4,1,1,1,3,1,2,1,1,2,1
283,1,2,7,3,0,7,1,2,1,1,2,3,2,2,1,2,1
284,1,1,7,2,3,6,3,1,4,1,3,2,1,2,1,2,1
285,1,3,9,2,0,9,1,1,1,1,1,3,2,2,1,1,2
286,1,1,9,3,3,10,3,4,4,2,3,3,2,2,1,2,1
287,1,3,9,2,3,6,1,2,1,2,1,2,2,2,1,2,1
288,1,3,9,2,0,6,3,4,2,2,4,3,2,3,1,1,1
289,1,3,8,3,3,8,1,2,4,3,1,2,1,2,1,2,1
290,1,3,8,3,3,6,4,1,2,2,2,2,2,2,1,1,1
291,1,3,8,2,2,7,3,2,2,1,3,1,2,1,1,2,1
292,1,3,9,3,3,7,4,2,1,2,1,2,2,2,1,1,1
293,1,2,9,3,3,8,2,4,1,1,3,2,1,2,1,2,1
294,1,3,8,3,2,9,3,3,3,1,2,2,2,2,1,2,1
295,1,3,4,2,1,4,1,2,1,1,2,2,1,2,1,2,1
296,1,3,9,2,2,7,2,1,2,1,2,1,2,1,1,2,1
297,1,3,9,3,3,7,2,2,1,2,1,2,2,2,1,1,1
298,1,2,8,2,2,9,3,1,1,1,1,1,2,1,1,1,1
299,1,3,7,3,3,7,1,1,2,3,1,2,2,2,1,2,1
300,1,1,8,1,3,10,1,4,4,3,3,3,1,2,1,1,1
301,1,3,6,2,3,5,1,3,4,2,3,1,1,2,1,2,1
302,1,3,6,2,2,6,1,1,2,1,3,2,2,2,1,2,1
303,1,3,9,3,3,6,4,2,1,2,1,2,2,2,1,2,1
304,0,3,9,2,3,9,1,2,3,1,1,2,2,2,1,1,1
305,1,3,6,2,0,8,2,4,4,3,1,3,2,1,1,1,1
306,1,1,9,2,2,8,1,2,1,2,1,2,1,2,1,1,2
307,1,3,9,1,0,9,4,2,1,2,1,2,1,2,1,1,1
308,1,1,7,2,3,6,1,1,4,1,2,2,2,1,1,3,2
309,1,3,1,1,1,4,4,2,2,2,2,2,2,2,1,1,1
310,1,3,8,3,3,9,4,4,4,2,1,5,2,2,1,2,1
311,1,3,2,3,1,6,4,4,4,2,3,2,2,2,1,2,2
312,1,3,9,3,0,10,3,2,2,1,1,3,1,2,1,1,1
313,1,2,6,2,0,8,1,1,4,2,2,2,2,2,1,2,1
314,1,1,9,2,0,9,1,1,3,2,1,3,2,2,1,1,2
315,1,3,8,2,1,8,4,4,4,2,4,3,1,3,1,2,1
316,1,3,6,1,3,7,1,3,4,2,3,3,1,2,1,2,2
317,1,3,8,2,3,6,1,2,3,3,3,1,2,2,1,2,1
318,1,3,8,3,3,8,1,2,4,2,2,2,2,2,1,2,1
319,1,3,9,1,0,8,2,2,4,2,4,2,1,1,1,2,1
320,1,3,9,2,0,7,3,2,3,2,4,3,2,1,1,1,1
321,1,3,8,2,3,7,2,2,4,1,1,2,2,2,1,2,1
322,1,3,9,2,3,7,3,4,1,1,1,2,2,2,1,2,2
323,1,1,9,3,2,7,4,1,2,1,1,2,2,1,1,2,1
324,1,3,9,2,0,7,1,2,3,2,1,2,2,2,1,1,1
325,1,3,6,3,0,8,3,4,4,1,1,2,2,2,1,2,2
326,1,3,9,2,0,8,2,2,3,2,1,2,2,1,1,1,1
327,1,3,9,3,0,8,1,4,1,2,1,3,2,2,1,2,1
328,1,3,7,2,0,6,4,3,4,2,2,2,2,2,1,2,1
329,1,3,7,3,3,5,1,4,3,2,3,2,2,2,1,2,2
330,1,3,6,3,3,7,4,2,3,1,3,2,2,2,1,2,2
331,1,3,7,3,3,7,1,2,2,1,3,2,2,2,1,2,1
332,1,3,9,3,3,7,1,3,1,1,3,1,2,1,1,2,2
333,1,3,7,2,0,8,4,3,4,1,2,1,2,1,1,2,1
334,1,3,6,3,0,9,4,4,4,3,3,3,2,2,1,2,2
335,1,1,6,2,2,7,1,1,4,2,2,1,2,2,1,1,1
336,1,1,9,3,3,8,2,4,3,2,1,3,2,2,1,2,1
337,1,1,9,3,0,8,1,3,4,2,2,3,2,2,1,2,2
338,1,3,9,2,1,6,2,2,1,2,1,2,2,2,1,2,1
339,1,3,8,2,1,8,3,3,3,2,2,3,2,2,1,2,1
340,1,3,5,3,3,6,4,4,3,2,3,3,2,2,1,2,2
341,1,1,6,1,1,6,1,2,1,1,3,1,1,1,1,2,1
342,1,3,7,3,1,6,4,1,2,2,4,2,2,2,1,3,2
343,1,3,9,2,0,6,2,2,1,2,1,2,2,1,1,2,1
344,1,3,8,3,0,9,2,3,4,1,3,3,2,2,1,2,2
345,1,3,9,2,3,7,1,2,1,2,2,2,2,2,1,2,2
346,1,3,9,2,3,9,3,4,4,2,4,3,2,3,1,2,2
347,1,3,9,3,0,9,1,4,4,2,4,4,2,3,1,2,2
348,1,1,8,3,0,7,1,2,4,2,2,2,2,2,1,2,1
349,1,3,8,3,3,9,1,2,4,2,3,2,2,2,1,2,1
350,1,3,9,3,2,7,4,2,2,3,3,2,2,2,1,2,1
351,1,3,6,2,0,7,3,3,4,1,3,2,2,2,1,2,2
352,1,3,2,3,3,4,4,4,4,1,3,3,1,2,1,3,1
353,0,1,8,3,0,6,1,2,3,1,1,2,2,2,1,2,1
354,1,3,9,2,3,8,2,4,2,2,4,3,1,3,1,2,2
355,1,3,4,3,1,3,4,4,2,2,4,3,2,3,1,2,1
356,1,1,6,2,1,6,1,2,3,2,4,4,1,2,1,2,2
357,1,3,9,3,0,8,1,4,3,2,1,2,2,2,1,1,1
358,1,3,7,2,0,7,1,4,3,1,3,1,2,2,1,3,1
359,1,3,8,3,0,5,4,4,1,1,3,3,2,2,1,2,2
360,1,3,8,3,0,8,1,4,4,2,1,4,2,2,1,1,1
361,1,1,8,2,2,7,1,1,4,1,3,1,2,1,1,2,1
362,1,3,9,3,2,8,4,2,1,3,2,2,2,2,1,2,1
363,1,3,9,2,2,8,1,2,4,1,1,2,2,1,1,2,1
364,1,3,8,2,3,7,4,2,4,2,4,2,2,3,1,2,2
365,1,3,8,1,2,6,1,4,2,2,2,2,2,2,1,2,1
366,1,3,6,2,3,8,3,2,3,1,3,3,2,2,1,1,1
367,1,2,8,1,3,8,1,2,2,2,1,2,2,2,1,1,2
368,1,1,8,2,0,8,1,2,2,1,3,2,2,1,1,2,1
369,1,1,6,2,2,6,1,2,2,1,1,1,2,1,1,1,1
370,1,1,6,2,3,5,1,2,2,3,3,1,1,2,1,1,1
371,1,3,6,3,3,6,3,4,2,2,3,2,2,2,1,2,1
372,1,2,6,3,1,4,3,4,2,1,4,2,2,1,1,2,1
373,1,1,9,2,3,10,1,1,4,1,1,2,2,2,1,2,1
374,1,3,7,3,2,7,2,3,4,2,1,2,2,2,1,3,1
375,1,1,6,2,3,6,1,2,3,2,3,2,2,2,1,3,1
376,0,1,8,1,3,8,1,3,4,2,1,2,2,2,1,2,1
377,1,2,6,3,1,5,1,4,1,2,3,2,2,2,1,3,2
378,1,2,8,2,3,7,2,2,4,2,1,1,2,2,1,2,1
379,1,3,5,3,3,5,4,3,2,2,2,2,2,2,1,2,1
380,1,1,7,2,2,6,1,1,1,1,3,1,2,1,1,2,1
